pok_chapter,pok_section,pok_subsection,pok_detail,pok_subdetail,pok_extra,type,level,name,description,page,sequence
07 Picking up stitches,Picking up to join,Vertical joins,General information for vertical joins,Number of picked-up stitches,Joining to equal number of stitches,extra,6,Joining to equal number of stitches,"07 Picking up stitches, Picking up to join, Vertical joins, General information for vertical joins, Number of picked-up stitches, Joining to equal number of stitches",117,451
07 Picking up stitches,Picking up to join,Vertical joins,General information for vertical joins,Picking up while joining,,subdetail,5,Picking up while joining,"07 Picking up stitches, Picking up to join, Vertical joins, General information for vertical joins, Picking up while joining",118,452
07 Picking up stitches,Picking up to join,Vertical joins,General information for vertical joins,Picking up while joining,Join and turn selvedge inside,extra,6,Join and turn selvedge inside,"07 Picking up stitches, Picking up to join, Vertical joins, General information for vertical joins, Picking up while joining, Join and turn selvedge inside",118,453
07 Picking up stitches,Picking up to join,Vertical joins,General information for vertical joins,Picking up while joining,Join and turn selvedge outside,extra,6,Join and turn selvedge outside,"07 Picking up stitches, Picking up to join, Vertical joins, General information for vertical joins, Picking up while joining, Join and turn selvedge outside",118,454
07 Picking up stitches,Picking up to join,Horizontal joins,,,,subsection,3,Horizontal joins,"07 Picking up stitches, Picking up to join, Horizontal joins",118,455
07 Picking up stitches,Picking up to join,Horizontal joins,Horizontal garter stitch border,,,detail,4,Horizontal garter stitch border,"07 Picking up stitches, Picking up to join, Horizontal joins, Horizontal garter stitch border",119,456
07 Picking up stitches,Picking up to join,Horizontal joins,Edge border,,,detail,4,Edge border,"07 Picking up stitches, Picking up to join, Horizontal joins, Edge border",119,457
07 Picking up stitches,Picking up to join,Insertions,,,,subsection,3,Insertions,"07 Picking up stitches, Picking up to join, Insertions",119,458
07 Picking up stitches,Picking up to join,Insertions,Vertical insertion,,,detail,4,Vertical insertion,"07 Picking up stitches, Picking up to join, Insertions, Vertical insertion",119,459
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,,,detail,4,Horizontal insertion,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion",120,460
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,Basic horizontal insertion,,subdetail,5,Basic horizontal insertion,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion, Basic horizontal insertion",120,461
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,Horizontal trim with free edge,,subdetail,5,Horizontal trim with free edge,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion, Horizontal trim with free edge",120,462
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,Horizontal trim with free edge,Version one,extra,6,Version one,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion, Horizontal trim with free edge, Version one",120,463
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,Horizontal trim with free edge,Version two,extra,6,Version two,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion, Horizontal trim with free edge, Version two",120,464
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,Horizontal trim with free edge,Version three,extra,6,Version three,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion, Horizontal trim with free edge, Version three",120,465
07 Picking up stitches,Picking up to join,Insertions,Horizontal insertion,Horizontal trim with free edge,About gathers …,extra,6,About gathers …,"07 Picking up stitches, Picking up to join, Insertions, Horizontal insertion, Horizontal trim with free edge, About gathers …",120,466
07 Picking up stitches,Picking up to join,Joining shaped edges,,,,subsection,3,Joining shaped edges,"07 Picking up stitches, Picking up to join, Joining shaped edges",121,467
07 Picking up stitches,Picking up to join,Joining shaped edges,Collars and ruffles,,,detail,4,Collars and ruffles,"07 Picking up stitches, Picking up to join, Joining shaped edges, Collars and ruffles",121,468
07 Picking up stitches,Picking up to join,Joining shaped edges,Corners,,,detail,4,Corners,"07 Picking up stitches, Picking up to join, Joining shaped edges, Corners",121,469
07 Picking up stitches,Picking up to join,Joining shaped edges,Corners,Continuous border for shawl,,subdetail,5,Continuous border for shawl,"07 Picking up stitches, Picking up to join, Joining shaped edges, Corners, Continuous border for shawl",121,470
07 Picking up stitches,Picking up to join,Joining shaped edges,Corners,Joining a jacket border,,subdetail,5,Joining a jacket border,"07 Picking up stitches, Picking up to join, Joining shaped edges, Corners, Joining a jacket border",121,471
07 Picking up stitches,Picking up to join,Joining shaped edges,Joining sleeve to armhole,,,detail,4,Joining sleeve to armhole,"07 Picking up stitches, Picking up to join, Joining shaped edges, Joining sleeve to armhole",121,472
07 Picking up stitches,Picking up to join,Design details for joined fabrics,,,,subsection,3,Design details for joined fabrics,"07 Picking up stitches, Picking up to join, Design details for joined fabrics",122,473
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Width or length of join,,,detail,4,Width or length of join,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Width or length of join",122,474
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Width or length of join,Calculating effect of join,,subdetail,5,Calculating effect of join,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Width or length of join, Calculating effect of join",122,475
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,,,detail,4,Integrated edges,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges",122,476
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Bottom edges,,subdetail,5,Bottom edges,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Bottom edges",123,477
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Bottom edges,Border cast-on edge,extra,6,Border cast-on edge,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Bottom edges, Border cast-on edge",123,478
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Bottom edges,Insertion at cast-on edge,extra,6,Insertion at cast-on edge,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Bottom edges, Insertion at cast-on edge",123,479
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Bottom edges,Insertion above bottom border,extra,6,Insertion above bottom border,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Bottom edges, Insertion above bottom border",123,480
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Top edges,,subdetail,5,Top edges,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Top edges",123,481
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Top edges,Top border edge,extra,6,Top border edge,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Top edges, Top border edge",123,482
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Top edges,Top insertion edges,extra,6,Top insertion edges,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Top edges, Top insertion edges",123,483
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Integrated edges,Side edges for horizontal joins,,subdetail,5,Side edges for horizontal joins,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Integrated edges, Side edges for horizontal joins",123,484
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Intermediary patterns for joins,,,detail,4,Intermediary patterns for joins,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Intermediary patterns for joins",123,485
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Intermediary patterns for joins,Parallel inermediary pattern,,subdetail,5,Parallel inermediary pattern,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Intermediary patterns for joins, Parallel inermediary pattern",124,486
07 Picking up stitches,Picking up to join,Design details for joined fabrics,Intermediary patterns for joins,Perpendicular inermediary pattern,,subdetail,5,Perpendicular inermediary pattern,"07 Picking up stitches, Picking up to join, Design details for joined fabrics, Intermediary patterns for joins, Perpendicular inermediary pattern",124,487
07 Picking up stitches,Picking up within a fabric,,,,,section,2,Picking up within a fabric,"07 Picking up stitches, Picking up within a fabric",124,488
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,,,,subsection,3,Picking up on the outside,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside",124,489
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up stitch heads,,,detail,4,Picking up stitch heads,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up stitch heads",124,490
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up stitch heads,Picking up stitch heads in a row,,subdetail,5,Picking up stitch heads in a row,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up stitch heads, Picking up stitch heads in a row",125,491
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up stitch heads,Picking up heads in a stitch column,,subdetail,5,Picking up heads in a stitch column,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up stitch heads, Picking up heads in a stitch column",125,492
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up running threads,,,detail,4,Picking up running threads,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up running threads",125,493
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up side of stitch,,,detail,4,Picking up side of stitch,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up side of stitch",125,494
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up side of stitch,Picking up stitch sides in a row,,subdetail,5,Picking up stitch sides in a row,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up side of stitch, Picking up stitch sides in a row",125,495
07 Picking up stitches,Picking up within a fabric,Picking up on the outside,Picking up side of stitch,Picking up stitch sides in a column,,subdetail,5,Picking up stitch sides in a column,"07 Picking up stitches, Picking up within a fabric, Picking up on the outside, Picking up side of stitch, Picking up stitch sides in a column",125,496
07 Picking up stitches,Picking up within a fabric,Picking up through the fabric,,,,subsection,3,Picking up through the fabric,"07 Picking up stitches, Picking up within a fabric, Picking up through the fabric",125,497
07 Picking up stitches,Picking up within a fabric,Picking up through the fabric,Picking up with separate strand,,,detail,4,Picking up with separate strand,"07 Picking up stitches, Picking up within a fabric, Picking up through the fabric, Picking up with separate strand",126,498
07 Picking up stitches,Picking up within a fabric,Picking up through the fabric,Picking up with tail of yarn,,,detail,4,Picking up with tail of yarn,"07 Picking up stitches, Picking up within a fabric, Picking up through the fabric, Picking up with tail of yarn",126,499
07 Picking up stitches,Working in the opposite direction,,,,,section,2,Working in the opposite direction,"07 Picking up stitches, Working in the opposite direction",126,500
07 Picking up stitches,Working in the opposite direction,Upside-down fabric structure,,,,subsection,3,Upside-down fabric structure,"07 Picking up stitches, Working in the opposite direction, Upside-down fabric structure",126,501
07 Picking up stitches,Working in the opposite direction,Removing cast-on edges,,,,subsection,3,Removing cast-on edges,"07 Picking up stitches, Working in the opposite direction, Removing cast-on edges",127,502
07 Picking up stitches,Working in the opposite direction,Removing cast-on edges,Removing stranded cast-on,,,detail,4,Removing stranded cast-on,"07 Picking up stitches, Working in the opposite direction, Removing cast-on edges, Removing stranded cast-on",127,503
07 Picking up stitches,Working in the opposite direction,Removing cast-on edges,Removing half-hitch cast-on,,,detail,4,Removing half-hitch cast-on,"07 Picking up stitches, Working in the opposite direction, Removing cast-on edges, Removing half-hitch cast-on",128,504
07 Picking up stitches,Working in the opposite direction,Removing cast-on edges,Removing knit cast-on,,,detail,4,Removing knit cast-on,"07 Picking up stitches, Working in the opposite direction, Removing cast-on edges, Removing knit cast-on",128,505
07 Picking up stitches,Working in the opposite direction,Removing cast-on edges,Removing alternating cast-on,,,detail,4,Removing alternating cast-on,"07 Picking up stitches, Working in the opposite direction, Removing cast-on edges, Removing alternating cast-on",128,506
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,,,,subsection,3,Retaining a horizontal edge,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge",128,507
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,Picking up half-hitch cast-on edge,,,detail,4,Picking up half-hitch cast-on edge,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge, Picking up half-hitch cast-on edge",128,508
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,Picking up half-hitch cast-on edge,Knit half-hitch on outside,,subdetail,5,Knit half-hitch on outside,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge, Picking up half-hitch cast-on edge, Knit half-hitch on outside",128,509
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,Picking up half-hitch cast-on edge,Purl half-hitch on outside,,subdetail,5,Purl half-hitch on outside,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge, Picking up half-hitch cast-on edge, Purl half-hitch on outside",128,510
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,Picking up half-hitch cast-on edge,For any other edge …,,subdetail,5,For any other edge …,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge, Picking up half-hitch cast-on edge, For any other edge …",129,511
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,Picking up chained cast-off edge,,,detail,4,Picking up chained cast-off edge,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge, Picking up chained cast-off edge",129,512
07 Picking up stitches,Working in the opposite direction,Retaining a horizontal edge,Replacing cast-on with cast-off,,,detail,4,Replacing cast-on with cast-off,"07 Picking up stitches, Working in the opposite direction, Retaining a horizontal edge, Replacing cast-on with cast-off",129,513
07 Picking up stitches,Working in the opposite direction,Separating a fabric,,,,subsection,3,Separating a fabric,"07 Picking up stitches, Working in the opposite direction, Separating a fabric",129,514
07 Picking up stitches,Working in the opposite direction,Separating a fabric,Freeing the stitches,,,detail,4,Freeing the stitches,"07 Picking up stitches, Working in the opposite direction, Separating a fabric, Freeing the stitches",129,515
07 Picking up stitches,Working in the opposite direction,Separating a fabric,Tips and applications,,,detail,4,Tips and applications,"07 Picking up stitches, Working in the opposite direction, Separating a fabric, Tips and applications",130,516
08 Openings,,,,,,chapter,1,08 Openings,08 Openings,131,517
08 Openings,Buttonholes,,,,,section,2,Buttonholes,"08 Openings, Buttonholes",131,518
08 Openings,Buttonholes,Yarnover buttonholes,,,,subsection,3,Yarnover buttonholes,"08 Openings, Buttonholes, Yarnover buttonholes",131,519
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,,,detail,4,Small eyelet buttonholes,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes",131,520
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Basic eyelet buttonhole,,subdetail,5,Basic eyelet buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Basic eyelet buttonhole",132,521
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Basic eyelet buttonhole,Left decrease version,extra,6,Left decrease version,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Basic eyelet buttonhole, Left decrease version",132,522
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Basic eyelet buttonhole,Right decrease version,extra,6,Right decrease version,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Basic eyelet buttonhole, Right decrease version",132,523
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Even smaller syslet buttonhole,,subdetail,5,Even smaller syslet buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Even smaller syslet buttonhole",132,524
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Single rib eyelet buttonhole,,subdetail,5,Single rib eyelet buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Single rib eyelet buttonhole",132,525
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Narrow eyelet buttonhole,,subdetail,5,Narrow eyelet buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Narrow eyelet buttonhole",132,526
08 Openings,Buttonholes,Yarnover buttonholes,Small eyelet buttonholes,Rib increase eyelet buttonhole,,subdetail,5,Rib increase eyelet buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Small eyelet buttonholes, Rib increase eyelet buttonhole",132,527
08 Openings,Buttonholes,Yarnover buttonholes,Large yarnover buttonholes,,,detail,4,Large yarnover buttonholes,"08 Openings, Buttonholes, Yarnover buttonholes, Large yarnover buttonholes",133,528
08 Openings,Buttonholes,Yarnover buttonholes,Large yarnover buttonholes,Two-row yarnover buttonhole,,subdetail,5,Two-row yarnover buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Large yarnover buttonholes, Two-row yarnover buttonhole",133,529
08 Openings,Buttonholes,Yarnover buttonholes,Large yarnover buttonholes,Four-row yarnover buttonhole,,subdetail,5,Four-row yarnover buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Large yarnover buttonholes, Four-row yarnover buttonhole",133,530
08 Openings,Buttonholes,Yarnover buttonholes,Large yarnover buttonholes,Six-row yarnover buttonhole,,subdetail,5,Six-row yarnover buttonhole,"08 Openings, Buttonholes, Yarnover buttonholes, Large yarnover buttonholes, Six-row yarnover buttonhole",133,531
08 Openings,Buttonholes,Divided vertical buttonholes,,,,subsection,3,Divided vertical buttonholes,"08 Openings, Buttonholes, Divided vertical buttonholes",133,532
08 Openings,Buttonholes,Divided vertical buttonholes,Vertical buttonhole - even rows,,,detail,4,Vertical buttonhole - even rows,"08 Openings, Buttonholes, Divided vertical buttonholes, Vertical buttonhole - even rows",134,533
08 Openings,Buttonholes,Divided vertical buttonholes,Vertical buttonhole - odd rows,,,detail,4,Vertical buttonhole - odd rows,"08 Openings, Buttonholes, Divided vertical buttonholes, Vertical buttonhole - odd rows",134,534
08 Openings,Buttonholes,Divided vertical buttonholes,Vertical buttonhole - slide method,,,detail,4,Vertical buttonhole - slide method,"08 Openings, Buttonholes, Divided vertical buttonholes, Vertical buttonhole - slide method",134,535
08 Openings,Buttonholes,Divided vertical buttonholes,Vertical buttonhole for single rib,,,detail,4,Vertical buttonhole for single rib,"08 Openings, Buttonholes, Divided vertical buttonholes, Vertical buttonhole for single rib",134,536
08 Openings,Buttonholes,Divided vertical buttonholes,Sloped buttonhole,,,detail,4,Sloped buttonhole,"08 Openings, Buttonholes, Divided vertical buttonholes, Sloped buttonhole",134,537
08 Openings,Buttonholes,Horizontal buttonholes,,,,subsection,3,Horizontal buttonholes,"08 Openings, Buttonholes, Horizontal buttonholes",135,538
08 Openings,Buttonholes,Horizontal buttonholes,Traditional horizontal buttonhole,,,detail,4,Traditional horizontal buttonhole,"08 Openings, Buttonholes, Horizontal buttonholes, Traditional horizontal buttonhole",135,539
08 Openings,Buttonholes,Horizontal buttonholes,Improved horizontal buttonhole,,,detail,4,Improved horizontal buttonhole,"08 Openings, Buttonholes, Horizontal buttonholes, Improved horizontal buttonhole",135,540
08 Openings,Buttonholes,Horizontal buttonholes,Placeholder opening,,,detail,4,Placeholder opening,"08 Openings, Buttonholes, Horizontal buttonholes, Placeholder opening",136,541
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",,,,subsection,3,"Edge, border, and loop buttonholes","08 Openings, Buttonholes, Edge, border, and loop buttonholes",136,542
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Buttonholes in sewn-on borders,,,detail,4,Buttonholes in sewn-on borders,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Buttonholes in sewn-on borders",136,543
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Buttonholes on picked-up edges,,,detail,4,Buttonholes on picked-up edges,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Buttonholes on picked-up edges",136,544
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Buttonholes on picked-up edges,Slit buttonholes for picked-up border,,subdetail,5,Slit buttonholes for picked-up border,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Buttonholes on picked-up edges, Slit buttonholes for picked-up border",136,545
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Buttonholes on picked-up edges,Loop buttonhole on picked-up edge,,subdetail,5,Loop buttonhole on picked-up edge,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Buttonholes on picked-up edges, Loop buttonhole on picked-up edge",136,546
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Buttonholes on picked-up edges,Slit buttonhole on corded edge,,subdetail,5,Slit buttonhole on corded edge,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Buttonholes on picked-up edges, Slit buttonhole on corded edge",137,547
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Crochet edges with buttonholes,,,detail,4,Crochet edges with buttonholes,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Crochet edges with buttonholes",137,548
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Interior button loops,,,detail,4,Interior button loops,"08 Openings, Buttonholes, Edge, border, and loop buttonholes, Interior button loops",137,549
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Interior button loops,"Button loop, version one",,subdetail,5,"Button loop, version one","08 Openings, Buttonholes, Edge, border, and loop buttonholes, Interior button loops, Button loop, version one",137,550
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Interior button loops,"Button loop, version two",,subdetail,5,"Button loop, version two","08 Openings, Buttonholes, Edge, border, and loop buttonholes, Interior button loops, Button loop, version two",137,551
08 Openings,Buttonholes,"Edge, border, and loop buttonholes",Interior button loops,"Button loop, version three",,subdetail,5,"Button loop, version three","08 Openings, Buttonholes, Edge, border, and loop buttonholes, Interior button loops, Button loop, version three",137,552
08 Openings,Buttonholes,Buttonhole finishing,,,,subsection,3,Buttonhole finishing,"08 Openings, Buttonholes, Buttonhole finishing",137,553
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,,,detail,4,Sewn finishes for buttonholes,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes",138,554
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,Tips for sewn finishes,,subdetail,5,Tips for sewn finishes,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, Tips for sewn finishes",138,555
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,Tips for sewn finishes,To stabilise buttonholes,extra,6,To stabilise buttonholes,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, Tips for sewn finishes, To stabilise buttonholes",138,556
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,Tips for sewn finishes,To tie on yarn,extra,6,To tie on yarn,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, Tips for sewn finishes, To tie on yarn",138,557
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,To sew openings,,subdetail,5,To sew openings,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, To sew openings",138,558
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,To sew openings,Overcast stitch,extra,6,Overcast stitch,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, To sew openings, Overcast stitch",138,559
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,To sew openings,Concealed finish,extra,6,Concealed finish,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, To sew openings, Concealed finish",138,560
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,To sew openings,Buttonhole stitch,extra,6,Buttonhole stitch,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, To sew openings, Buttonhole stitch",139,561
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,To sew openings,Duplicate stitch finish,extra,6,Duplicate stitch finish,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, To sew openings, Duplicate stitch finish",139,562
08 Openings,Buttonholes,Buttonhole finishing,Sewn finishes for buttonholes,To sew openings,Sewn half-hitch cast-off,extra,6,Sewn half-hitch cast-off,"08 Openings, Buttonholes, Buttonhole finishing, Sewn finishes for buttonholes, To sew openings, Sewn half-hitch cast-off",139,563
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,,,detail,4,Knitted finishes for buttonholes,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes",140,564
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Chained cast-off finish,,subdetail,5,Chained cast-off finish,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Chained cast-off finish",140,565
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Chained cast-off finish,Picking up around opening,extra,6,Picking up around opening,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Chained cast-off finish, Picking up around opening",140,566
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Chained cast-off finish,To cast off opening edge,extra,6,To cast off opening edge,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Chained cast-off finish, To cast off opening edge",140,567
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Crochet chained cast-off finish,,subdetail,5,Crochet chained cast-off finish,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Crochet chained cast-off finish",140,568
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Crochet chained cast-off finish,Crochet chain with stitches removed,extra,6,Crochet chain with stitches removed,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Crochet chained cast-off finish, Crochet chain with stitches removed",141,569
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Crochet chained cast-off finish,Crochet chain with stitches in place,extra,6,Crochet chain with stitches in place,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Crochet chained cast-off finish, Crochet chain with stitches in place",141,570
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Hemmed finish,,subdetail,5,Hemmed finish,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Hemmed finish",141,571
08 Openings,Buttonholes,Buttonhole finishing,Knitted finishes for buttonholes,Hemmed and faced finish,,subdetail,5,Hemmed and faced finish,"08 Openings, Buttonholes, Buttonhole finishing, Knitted finishes for buttonholes, Hemmed and faced finish",141,572
08 Openings,Buttonholes,Buttonhole finishing,Machine-sewn buttonholes,,,detail,4,Machine-sewn buttonholes,"08 Openings, Buttonholes, Buttonhole finishing, Machine-sewn buttonholes",142,573
08 Openings,Buttonholes,Buttonhole finishing,Sewing on buttons,,,detail,4,Sewing on buttons,"08 Openings, Buttonholes, Buttonhole finishing, Sewing on buttons",142,574
08 Openings,Pockets,,,,,section,2,Pockets,"08 Openings, Pockets",142,575
08 Openings,Pockets,Patch pockets,,,,subsection,3,Patch pockets,"08 Openings, Pockets, Patch pockets",142,576
08 Openings,Pockets,Patch pockets,Patch pocket edges,,,detail,4,Patch pocket edges,"08 Openings, Pockets, Patch pockets, Patch pocket edges",143,577
08 Openings,Pockets,Patch pockets,Sewing a patch pocket,,,detail,4,Sewing a patch pocket,"08 Openings, Pockets, Patch pockets, Sewing a patch pocket",143,578
08 Openings,Pockets,Horizontal pockets,,,,subsection,3,Horizontal pockets,"08 Openings, Pockets, Horizontal pockets",143,579
08 Openings,Pockets,Horizontal pockets,Pocket openings,,,detail,4,Pocket openings,"08 Openings, Pockets, Horizontal pockets, Pocket openings",143,580
08 Openings,Pockets,Horizontal pockets,Pocket openings,Placeholder pocket opening,,subdetail,5,Placeholder pocket opening,"08 Openings, Pockets, Horizontal pockets, Pocket openings, Placeholder pocket opening",143,581
08 Openings,Pockets,Horizontal pockets,Pocket openings,Stitch holder opening,,subdetail,5,Stitch holder opening,"08 Openings, Pockets, Horizontal pockets, Pocket openings, Stitch holder opening",143,582
